Mouse,Channel,TimeFrame,Region,Base_CSD,CNO_CSD,Delta_CSD,Base_Voltage,CNO_Voltage,Delta_Voltage,Base_Theta,CNO_Theta,Delta_Theta
M34_ptenblind,2,GZ,CA1|CA1 SP,,,,-65.27960105020492,-117.2618999972556,-51.98229894705068,-0.002155839546707547,-0.001761482039450913,0.00039435750725663396
M34_ptenblind,4,AS,CA1 SP,-0.05803022848065827,3.156512159041614,3.2145423875222723,-59.84471744521525,-82.37309390861184,-22.528376463396583,-0.004641394801332675,-0.004902240260506081,-0.0002608454591734059
M34_ptenblind,4,GZ,CA1 SP,-2.106205109627016,1.085553850446427,3.191758960073443,-67.17669377561475,-114.5410470716847,-47.36435329606995,-0.004641394801332675,-0.004902240260506081,-0.0002608454591734059
M34_ptenblind,6,AS,CA1 SP|CA1,7.110673753196932,9.58641088483628,2.475737131639348,-63.782751312889,-83.22686250208388,-19.444111189194878,-0.005500169760228948,-0.002802104901727743,0.0026980648585012046
M34_ptenblind,6,GZ,CA1 SP|CA1,4.337433845766133,5.574169246831798,1.2367354010656655,-67.64696465163935,-114.2614574566379,-46.61449280499855,-0.005500169760228948,-0.002802104901727743,0.0026980648585012046
M34_ptenblind,8,AS,CA1 SP|CA1,-1.963232484315056,-5.517816735219897,-3.554584250904841,-74.37570658956821,-93.47094596315571,-19.095239373587503,-0.01425681123933823,-0.008388580865589482,0.0058682303737487475
M34_ptenblind,8,GZ,CA1 SP|CA1,-0.1580022996471735,-3.374794111823156,-3.2167918121759826,-72.52902671939037,-119.1682123188671,-46.63918559947673,-0.01425681123933823,-0.008388580865589482,0.0058682303737487475
M34_ptenblind,10,AS,CA1,3.981958569773007,10.05260396447983,6.0706453947068235,-83.95088164143543,-99.73338092652462,-15.782499285089187,-0.01214696440618574,-0.008410443598622799,0.0037365208075629402
M34_ptenblind,10,GZ,CA1,5.70727932837702,12.43007677491361,6.722797446536591,-76.6481493340164,-122.7156127643808,-46.0674634303644,-0.01214696440618574,-0.008410443598622799,0.0037365208075629402
M34_ptenblind,12,AS,CA1,-5.276497062819694,1.158106967311381,6.434604030131076,-97.69943047361254,-117.6328902139986,-19.93345974038607,-0.004801297787589929,-0.005230052004166146,-0.00042875421657621697
M34_ptenblind,12,GZ,CA1,-11.59323415448588,-1.480454124063936,10.112780030421945,-89.56533963563011,-135.7268215063306,-46.161481870700484,-0.004801297787589929,-0.005230052004166146,-0.00042875421657621697
M34_ptenblind,14,AS,CA1|CA1 SLM,-1.766195077725385,-9.209696637656425,-7.44350155993104,-106.5061577128177,-138.2249833283935,-31.71882561557581,-0.006584004109031056,-0.004489002156202656,0.0020950019528284004
M34_ptenblind,14,GZ,CA1|CA1 SLM,-1.467304845010082,-7.183303481422818,-5.715998636412736,-86.52483830686475,-148.0439876225849,-61.51914931572014,-0.006584004109031056,-0.004489002156202656,0.0020950019528284004
